Codename,Model Name,Print Technology,Cartridge/Toner,Wi-Fi Gen,Year,Wireless Chip Set Manufacturer,Wireless Chipset Codename,FW Codebase,Variant
Corfu,Envy 4xx0,Ink,HP 63/63XL,4,2015,Infineon,Spectra,Sirius,
Dorado,M402/M403,Laser,HP 26A/26X,4,2015,Infineon,Ultra,Phoenix,
Emerson,OJ 7510,Ink,HP 932/932XL/933/933XL,4,2015,Infineon,Ultra,Sirius,
Gemini,M452,Laser,HP 410A/410X,4,2015,Infineon,Ultra,Phoenix,
Iceman,PageWide x52,Ink,HP 972A/972X,4,2015,Infineon,Spectra,SoL 1.0,
Kronos,DJ 5820,Ink,HP GT51/GT52 (bottled),4,2015,Infineon,Spectra,Sirius,
Marlin,MFP M426/M427,Laser,HP 26A/26X,4,2015,Infineon,Ultra,Phoenix,
Maverick,PageWide x77,Ink,HP 972A/972X,4,2015,Infineon,Spectra,SoL 1.0,
Nebula,MFP M277/M274,Laser,HP 201A/201X,4,2015,Infineon,Ultra,Phoenix,
Neptune,MFP M477/M377,Laser,HP 410A/410X,4,2015,Infineon,Ultra,Phoenix,
Orion,Pro M252,Laser,HP 201A/201X,4,2015,Infineon,Ultra,Phoenix,
Shaolin,DJ 3630 / OJ 3830,Ink,HP 63/63XL,4,2015,Infineon,Spectra,Sirius,
Agave,OJ Pro 6230/6220,Ink,HP 934/934XL/935/935XL,4,2014,Marvell,Sepia,Sirius,
Asteroid,Pro M201/M202,Laser,HP 83A,4,2014,Marvell,Umber,Phoenix,
Farad,OJ Pro 86x0,Ink,HP 950/950XL/951/951XL,4,2014,Marvell,Sepia-Lite,Sirius,
Moon,Pro MFP M225/M226,Laser,HP 83A,4,2014,Marvell,Umber-Lite,Phoenix,
Naples,Envy 5640/5740,Ink,HP 62/62XL,4,2014,Infineon,Ultra,Sirius,
Pinot,OJ Pro 6830,Ink,HP 934/934XL/935/935XL,4,2014,Marvell,Sepia-Lite,Sirius,
Puma,MFP M476,Laser,HP 312A/312X,4,2014,Marvell,Umber,Phoenix,
Sanya,Pro M701/M706,Laser,HP 93A,4,2014,Marvell,--,Phoenix,
Baja,OJ Pro X451/X551,Ink,HP 970/970XL/971/971XL,4,2013,Marvell,Sepia,Sirius,
Congo,DJ 2540,Ink,HP 61/61XL,4,2013,Marvell,Sepia-Lite,Sirius,
Dynasty,Pro MFP M435,Laser,HP 93A,4,2013,Marvell,Umber,Phoenix,
Ebadi,OJ 7110,Ink,HP 932/932XL/933/933XL,4,2013,Marvell,Umber,Sirius,
Elvis MLK,PS 75x0,Ink,HP 564/564XL,4,2013,Marvell,Umber,Sirius,
Engle,OJ 7610,Ink,HP 932/932XL/933/933XL,4,2013,Marvell,Umber,Sirius,
Everett,OJ Pro 251,Ink,HP 950/950XL/951/951XL,4,2013,Marvell,Umber,Sirius,
Forrester,OJ Pro 276,Ink,HP 950/950XL/951/951XL,4,2013,Marvell,Umber,Sirius,
Homer,Pro MFP M521,Laser,HP 55A/55X,4,2013,Marvell,Umber,Phoenix,
Le Mans,OJ Pro X476/X576,Ink,HP 970/970XL/971/971XL,4,2013,Marvell,Sepia,Sirius,
Mykonos,Envy 4500 / OJ 4630,Ink,HP 61/61XL,4,2013,Marvell,Sepia-Lite,Sirius,
Orchid,Envy 5530,Ink,HP 61/61XL,4,2013,Marvell,Sepia-Lite,Sirius,
Ampere,DJ Txxx,Large Format,HP 711,4,2012,Marvell,Umber,Sirius,
Buck,200 color M251,Laser,HP 131A,4,2012,Marvell,Miranda,Phoenix,
Cesar,OJ 4620,Ink,HP 564/564XL,4,2012,Marvell,Miranda,Sirius,
Cheetah,"400 colorMFP M475, 375",Laser,HP 305A/305X,4,2012,Marvell,Miranda,Phoenix,
Elvis,PS 7520,Ink,HP 564/564XL,4,2012,Marvell,Umber-Lite,Sirius,
Epic,500 colorMFP M570,Laser,HP 507A/507X,4,2012,Marvell,Umber,Phoenix,
Guitar,DJ 3510,Ink,HP 61/61XL,4,2012,Marvell,Umber,Sirius,
Morgan,PS 5520,Ink,HP 564/564XL,4,2012,Marvell,Umber,Sirius,
Poker,PS 3520,Ink,HP 564/564XL,4,2012,Marvell,Umber,Sirius,
Schooner,Envy 120,Ink,HP 60/60XL,4,2012,Marvell,Umber,Sirius,
Stuttgart,DJ 3520,Ink,HP 564/564XL,4,2012,Marvell,Umber,Sirius,
Sun,400 MFP M425,Laser,HP 80A/80X,4,2012,Marvell,Miranda,Phoenix,
Switchback,200 colorMFP M276,Laser,HP 131A,4,2012,Marvell,Miranda,Phoenix,
Taishan,400 M401,Laser,HP 80A/80X,4,2012,Marvell,Miranda,Phoenix,
Thunderbird,400 color M451,Laser,HP 305A/305X,4,2012,Marvell,Miranda,Phoenix,
EagleEye,200 colorMFP M275,Laser,HP 126A,4,2011,Marvell,Miranda,Phoenix,
Caracal,100 colorMFP M175,Laser,HP 126A,4,2010,Marvell,Miranda,Phoenix,
Cougar,CM1415,Laser,HP 128A,4,2010,Marvell,Miranda,Phoenix,
Jaybird,CP1525,Laser,HP 128A,4,2010,Marvell,Miranda,Phoenix,
Lonepine,M1536dnf,Laser,HP 78A,4,2010,Marvell,Miranda,Phoenix,
